GPA/GPB prefix = MCP23017

HomeRemote Pin ------- GPIO ------- Physical Pin
     1                   2              3
     2                   3              5
     3                   4              7
     4                   7              26
     5                   8              24
     6                   9              21
     7                  10              19
     8                  11              23
     9                  14              8
    10                  15              10
    11                  17              11
    12                  18              12
    13                  22              15
    14                  23              16
    15                  24              18
    16                  25              22
    17                  27              13
    18                 GPA0             21
    19                 GPA1             22
    20                 GPA2             23
    21                 GPA3             24
    22                 GPA4             25
    23                 GPA5             26
    24                 GPA6             27
    25                 GPA7             28
    26                 GPB0             1
    27                 GPB1             2
    28                 GPB2             3
    29                 GPB3             4
    30                 GPB4             5
    31                 GPB5             6
    32                 GPB6             7
    33                 GPB7             8
